undefined - undefined
Десногорск - 28293
Гагарин - 29476
Верхнеднепровский - 12084
Дорогобуж - 10135
Рассказово - 44180
Ярцево - 45559
Камышлов - 26566
Уварово - 24547
Моршанск - 39842
Котовск - 30718
Строитель - 19173
Первомайский - 11910
Вышний Волочёк - 48177
Жердевка - 14460
Кирсанов - 16877
Торжок - 46312
Удомля - 28864
Нелидово - 19952
Осташков - 16597
Кимры - 46101
Бежецк - 22196
Торопец - 12120
Кашин - 14734
Калязин - 13123
Асино - 24567
Стрежевой - 42094
Ефремов - 36181
Колпашево - 23114
Ясногорск - 15687
Лихославль - 12025
Кимовск - 26236
Плавск - 15899
Заводоуковск - 25728
Белёв - 13461
Новоульяновск - 14555
Ялуторовск - 39399
Инза - 17833
Венёв - 14260
Новоспасское - 10798
Барыш - 16275
Ишеевка - 10765
Снежинск - 49746
Сатка - 42437
Озёрный - 10661
Чебаркуль - 40609
Южноуральск - 37716
Чердаклы - 11482
Кыштым - 37809
Коркино - 35186
Верхний Уфалей - 28267
Аша - 30146
Еманжелинск - 29487
Усть-Катав - 22627
Бакал - 19942
Карталы - 28697
Катав-Ивановск - 16333
Сим - 13365
Куса - 17521
Пласт - 17483
Касли - 16488
Красногорский - 12915
Юрюзань - 11908
Нязепетровск - 12061
Роза - 12621
Карабаш - 11336
Мегион - 48818
Радужный - 42963
Лангепас - 43377
Первомайский - 11066
Нарьян-Мар - 24535
Урай - 40477
Пыть-Ях - 40910
Советский - 29179
Пойковский - 26284
Фёдоровский - 23692
Белоярский - 20282
Белый Яр - 17327
Покачи - 17899
Излучинск - 19223
Междуреченский - 11241
Надым - 44940
Югорск - 36734
Муравленко - 32649
Салехард - 48467
Губкинский - 27346
Тарко-Сале - 21448
Лабытнанги - 26331
Уренгой - 10198
Москва - 12330126
Санкт-Петербург - 5225690
Пангоды - 10597
Екатеринбург - 1444439
Казань - 1216965
Новосибирск - 1584138
Нижний Новгород - 1266871
Лянтор - 40024
Ростов-на-Дону - 1119875
Омск - 1178100
Самара - 1170910
Волгоград - 1017451
Челябинск - 1192036
Красноярск - 1066934
Пермь - 1041876
Воронеж - 1032895
Уфа - 1110976
Барнаул - 635550
Саратов - 843460
Краснодар - 853848
Ижевск - 643496
Ульяновск - 621514
Владивосток - 606653
Ярославль - 606703
Тольятти - 712392
Томск - 569428
Махачкала - 587876
Новокузнецк - 551253
Оренбург - 562569
Хабаровск - 610611
Астрахань - 531719
Липецк - 510020
Иркутск - 623424
Набережные Челны - 526750
Тюмень - 720575
Кемерово - 553076
Киров - 496986
Рязань - 534475
Чебоксары - 480741
Курск - 443212
Улан-Удэ - 430549
Калининград - 459560
Магнитогорск - 417561
Ставрополь - 429571
Тверь - 416442
Севастополь - 416263
Иваново - 408025
Сочи - 401291
Владимир - 354827
Белгород - 387090
Нижний Тагил - 356288
Калуга - 341986
